,Unnamed: 0,Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed,Postal Code
3,3,DANS MILE-EX SUPERBE LOFT 6397 ST-LAURENT (BEAUBIEN),$1550.00,Place Gennevilliers Laliberté Montréal QC H1V Canada,1,4 1/2,Oui,Unknown,
10,10,LEASE TRANSFER 3 1/2 Spacieux et Lumineux CDN,$918.00, Montréal H3T1E7 QC Canada,1,3 1/2,Non,Unknown,
17,17,Cession de bail d’un 4 et demi proche métro jolicoeur,$750.00, Montreal H4e2c3 QC Canada,1,4 1/2,Non,Non,
34,34,Loft 1 1/2 plateau Mont-Royal tout inclus,$675.00, H2W2C5 Montréal QC,1,1 1/2,Oui,Non,
37,37,LARGE 4 1/2 QUIET NEIGHBORHOOD - NEAR ALL - Ground level,$845.00, Montreal H9H4T1 QC Canada,1,4 1/2,Non,Oui,
38,38,3 1/2 ouvert sur Bourbonniere,$693.00,H2G2H4 Canada,1,3 1/2,Non,Unknown,
39,39,Sous location novembre/décembre appartement 3 1/2 Villeray,$700.00, Montréal H2r 1L5 QC Canada,1,3 1/2,Oui,Unknown,
40,40,Condo lux in NDG 1200sf / pc all included winter price,$2099.00, Montreal h4a0a2 QC Canada,2,5 1/2,Oui,Oui,
52,52,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
54,54,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
67,67,MEUBLÉ ET TOUT INCLUS Logement A LOUER 3 ½ APARTMENT FOR RENT,$1050.00,taylor montreal h3m2j8 QC Canada,1,3 1/2,Oui,Non,
76,76,2 1/2 à louer - Ville-Marie Montréal,$1635.00,110 Rue Sainte-Thérèse Montréal QC H2Y1E6,1,2 1/2,Oui,Oui,
83,83,Beau grand 5 1/2,$Surdemande,Rivière des Prairies Montréal QC riviere des prairies montreal H1E3L6 QC Canada,1,5 1/2,Non,Non,
98,98,Beautiful appartment downtown near metro,$1120.00,montreal Canada,1,2 1/2,Non,Oui,
107,107,DANS MILE-EX SUPERBE LOFT 6397 ST-LAURENT (BEAUBIEN),$1550.00,Place Gennevilliers Laliberté Montréal QC H1V Canada,1,4 1/2,Oui,Unknown,
110,110,Bonjour j'aimerais bixesuel-le pour co location Decembre 2018,$Surdemande,3200 Bedford H3s1G3 Montreal QC,1,3 1/2,Non,Oui,
122,122,Montréal 3 1/2 - Appartement Neuf Style Condo-Blvd Gouin,$795.00,Boulevard Gouin E Montréal QC Canada,1,3 1/2,Non,Non,
130,130,EnFr ELITE BIG CONDO/ROOM long/short/COURT term NOW 8au15E PROMO,$1649.00, Montreal h4a0a2 QC,2,4 1/2,Oui,Oui,
133,133,Logement a louer,$620.00,H1H3B9 Canada,1,3 1/2,Non,Oui,
135,135,5 1/2 petite Italie,$1450.00, Montréal H2s2y1 QC Canada,1,5 1/2,Non,Oui,
151,151,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
220,220,Apartment to Sublet,$Surdemande,Côte Saint-Luc QC Canada h4v2t4,1,2 1/2,Non,Oui,
227,227,Plateau Mont-Royal-Métro Frontenac/Papineau-superbe 3.5 meublé,$1045.00,2255 Des Erables H2K3V4 Montreal QC,1,3 1/2,Oui,Non,
229,229,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
