Title|Price|Address|Bathroom|Room|Furnished|Pet Allowed

one,bedroom,3 1/2,Westmount,Downtown,adj,May,June, 2019|$1395.00|1750 cedar, Montreal, QC, H3G 1A3|1|3 1/2|Non|Non

Apartment for rent 3 1/2 NDG area|$800.00|2260 Avenue Madison, Montréal, QC H4B 2T6, Canada|1|3 1/2|Non|Non

1,one,bedroom,condo,new,neuf ,à louer , Saint-Léonard,|$960.00|9430 Lacordaire, Saint-Léonard, QC, H1R 3N3|1|3 1/2|Non|Unknown

3 ½ entrée privée & cour arrière. Métro Honoré-Beaugrand|$950.00|5337 Rue Pierre-Tétreault, Montréal, QC H1K 2Z1, Canada|1|3 1/2|Non|Unknown

**Beautiful 2.5 in Montreal Nord -ALL INCLUDED** NOW!!**|$695.00|5555 Boul Henri-Bourassa E, Montréal-Nord, QC H1G 6H4, Canada|1|2 1/2|Non|Non

Grand 1 1/2 à louer maintenant|$536.00|H3S 1G4, Canada|1|1 1/2|Non|Non

Apartment Studio (1 ½) for rent in Downtown/ Griffintown|$1250.00|1010 William, H3C0K8, Montreal, QC|1|1 1/2|Non|Non

Condo 3 1/2 avec 5 électros, métro sauvé|$1050.00|9965 Rue Lajeunesse #306, Montréal, QC H3L 2C9, Canada|1|3 1/2|Non|Non

apartment furnished|$2800.00|4785 Avenue Dupuis, Montréal, QC H3W 1N4, Canada|1|6 1/2|Oui|Oui

Superbe 5 1/2 entièrement rénové Rosemont petite-patrie|$1455.00|2380 A Boulevard Rosemont, Montréal, QC H2G 1V1, Canada|1|5 1/2|Non|Non

Condo 3 1/2 avec les 5 électros inclus métro sauvé|$1050.00|9965 Rue Lajeunesse #306, Montréal, QC H3L 2C9, Canada|1|3 1/2|Non|Non

Recently renovated 5 1/2 apartment - Lasalle Metro|$1125.00|3389 Rue Evelyn, Verdun, QC H4G 1P1, Canada|1|5 1/2|Non|Oui

4 1/2 à louer à 5 min du métro Monk|$850.00|6622 D'Aragon, H4E 3B3, Montreal, QC|1|4 1/2|Non|Non

