,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
0,413 400,"1616, rue Claude-Charpentier",Chambly,3,1+2,1797,7450
1,850 000,"8386-8388-8384, rue Saint-André",Villeray / St-Michel / Parc-Extension,5,3,1797,3750
2,279 000,"251, rue des Rouleaux",Charlemagne,5,2,891,4500
3,109 000,"100, chemin du Barrage",Val-Des-Monts (Perkins),5,2,891,89943
4,429 000,"2885, rue Dollard",Duvernay,4,1+1,1040,5701
5,399 000,"466, avenue Sainte-Thérèse",Beauport,4,3,3000,10000
6,262 900,"1318, rue Élisabeth-Begon",Lévis,2,1+1,836,3627
7,297 000,"1720, grand rang Saint-Pierre",Ste-Élisabeth,3,1+1,2015,53800
8,210 000,"674, rue des Prés",St-Lin-Laurentides,3,2,1000,6564
9,449 000,"8080, rue Fernando-Pessoa",Ste-Dorothée,3,2+1,1632,3787
10,350 000,"949, rue Gerbault",Fabreville,3,1+1,1189,14875
11,676 000,"20, rue de Joigny",Blainville,4,2+1,2376,8138
13,629 000,"24, rue de Josselin",Blainville,5,3+1,2700,8860
14,185 000,"3481, Marcelle-Ferron",Shawinigan (Grand-Mère),2,2,1170,12700
15,459 000,"353, rue Dany",Fabreville,5,2+1,1480,4499
16,145 000,"106, route 230 Ouest",Riviere-Ouelle,3,1,1011,20886
17,263 500,"18, rue des Peupliers",ND-Des-Prairies,3,2,1015,6300
18,139 900,"2555, rang Saint-Gabriel Nord",Ste-Marie,3,2,1015,26182
19,395 000,"16, rue Albert-Legault",Chateauguay,3,1+1,1522,4760
20,298 000,"6453, rue de Michigan",Longueuil (St-Hubert),3,1+1,821,3993
21,448 000,"1728, rue de Miranda",Vimont,3,2,1048,4186
22,469 000,"64, rue du Manoir",Pointe-des-Cascades,3,1+1,1764,5000
23,289 900,"393, rue Roberta-Unwin",Gatineau (Aylmer),3,1+1,1205,4541
24,259 000,"282, rue Mailloux",Granby,5,3,1205,6756
26,515 000,"426, rue du Brome",St-Augustin-De-Desmaures,3,1+1,1640,14877
27,309 000,"53, rue des Flandres",Gatineau (Gatineau),3,2,1000,7500
28,307 500,"8377, rue des Jouvenceaux",Neufchatel,3,2+1,1440,2487
29,274 900,"927, rue Laforest",Fabreville,3,1+1,1156,3393
30,200 000,"231, rue des Bosquets",St-Benjamin,5,2,1125,46000
31,270 500,"671, rue Villebon",Sherbrooke (Rock Forest),4,2+1,1472,6984
32,263 500,"7, rue de Matane",Bromont,3,1+1,1344,6720
33,329 000,"337, chemin des Sorbiers",Piedmont,2,1+1,1500,2159
34,350 000,"1720, rue Simard",Sherbrooke (Jacques-Cartier),3,2+2,1560,12034
35,349 995,"1042, impasse Picasso",Boisbriand,3,2,1560,7091
36,329 000,"43, chemin des Crêtes",Lac-Beauport,3,2,1984,20000
38,210 000,"386, rue François-Raymond",Rimouski (Rimouski),3,2,888,4994
39,288 000,"18, boulevard de la Bonaventure",Victoriaville,3,2+1,1712,9189
40,264 000,"113, rue des Bourdaines",St-Étienne-De-Lauzon,3,1+1,1350,3500
41,759 000,"301, boulevard Seigneurial Est",St-Bruno-De-Montarville,4,2+1,1892,15803
42,389 000,"620, rue du Roselin",Drummondville (St-Charles-De-Drummond),3,1+1,2176,75000
44,239 000,"40, rue Leblanc",Victoriaville,3,2,1382,6010
45,140 500,"609, rue Coombs",Sherbrooke (Rock Forest),3,1+1,1022,1820
46,319 999,"430, rue Samuel-de-Champlain",Ste-Julie,3,2+1,900,6460
47,360 000,"3021, rue des Anémones",Marieville,3,2,1140,52137
48,320 000,"1185, rue Moisan",Longueuil (St-Hubert),4,1+1,1320,3500
49,789 000,"661, avenue Missisquoi",Venise-En-Quebec,4,3+1,2032,20000
50,595 000,"2079, route du Président-Kennedy",St-Isidore,5,3+1,2032,15726
51,285 900,"39, rue Aubé",Sept-Iles,5,3,1571,5670
53,304 000,"66, 20e Avenue",Ste-Marthe-Sur-Le-Lac,5,2,1053,6500
54,685 000,"1533, avenue Lecocq",Ahuntsic / Cartierville,6,3,1053,4520
55,190 000,"7134, rue Bernard-Piché",Trois-Rivières (Trois-Rivières),4,2,998,4262
56,334 000,"1679, rue des Épinettes-Rouges",Lac-St-Charles,3,2,1025,25640
57,192 500,"353, 7e Rang Est",Wickham,4,1,2100,28000
58,186 000,"9, chemin du Coteau-de-Trèfle Sud",St-Jean-sur-Richelieu (St-Luc),3,1,1069,18000
59,88 000,"1851, rang Elmire",St-Paul-D'Abbotsford,3,1,1069,36769
61,589 900,"7026, rue du Brisebois",Lebourgneuf,5,2+1,2417,6711
62,309 900,"70, rue Potvin",Val-Des-Monts,4,2,1800,50446
63,188 000,"661, rue Baron",St-Elzéar-de-Beauce,3,2,818,4589
65,249 000,"980, chemin Saint-Pierre",St-Ambroise-De-Kildare,3,1,818,93945
66,239 000,"352, rue de Longueuil",Longueuil (Vieux-Longueuil),2,1,810,300
67,759 000,"286, avenue Hickory",Pointe-Claire,3,2+1,1913,5920
68,139 900,"241, rang Kempt",Mont-St-Gregoire,2,1,900,15000
69,230 000,"62, rue de la Terrasse-Orléans",Beauport,4,1,1000,6270
70,249 900,"837, rue Primeau",St-Eustache,3,1+1,1085,2947
71,249 000,"1214, rue de l'Aulneuse",St-Nicolas,4,1+1,1248,4064
72,314 000,"2482, rue de l'Ivoire",Sherbrooke (Rock Forest),5,2+1,1800,13400
74,99 000,"20, rue Augusta",Morin-Heights,3,1+1,620,28070
75,97 500,"180, boulevard de Quen",Alma,2,1,1150,5750
76,265 000,"1190, rue Saint-Paul",L'Ancienne-Lorette,4,2,1092,8159
77,799 000,"13487, rue Huntington",Pierrefonds / Roxboro,5,3+1,3229,12916
78,265 000,"165, rue Hélène",St-Eustache,4,2,1040,6069
79,230 000,"1412, rue Hemingway",Chicoutimi (Chicoutimi),3,2,1040,6500
80,94 500,"3430, rue Bel-Air",Sherbrooke (Jacques-Cartier),3,2,1040,7265
81,347 500,"40, rue du Bruant",Gatineau (Hull),3,1+1,1608,4100
82,349 000,"865, rue d'Ottawa",Ste-Foy,5,1+2,1500,7240
83,309 000,"3120, rue Alfred-Pellan",Terrebonne (Terrebonne),4,2,1088,5000
84,673 500,"4940, rue Pharand - Modele Amalfi - Vëe Le Projet - Par Groupe Mathieu",Auteuil,3,2+1,1866,7716
85,464 700,"17005, rue de la Natation",Mirabel (Domaine-Vert Sud),3,2+1,1891,5545
86,318 000,"146, rue des Géodes",Boischatel,3,2,1440,6600
87,225 000,"3769, rue des Sources",Ste-Catherine,2,1+1,1008,224
88,184 500,"340, rue Saint-Maurice",Proulxville,3,2,1098,12830
90,196 900,"4221, avenue du tour du Lac",Shawinigan (Lac-A-La-Tortue),3,1+1,1500,21603
91,420 000,"513, rue Bourget",Vaudreuil-Dorion,3,2,803,5236
92,164 000,"1475, boulevard Malcolm-Fraser",La Malbaie,3,1+1,1151,16362
93,448 900,"126, rue de Vaucluse",Pont-Viau,4,2,1414,6591
94,255 000,"1061, avenue Lebeau",St-Ambroise-De-Kildare,2,2,1125,7091
95,189 000,"235, chemin Després",La Minerve,3,1,900,60493
96,40 000,"851, chemin du Havre-des-Monts",St-Sauveur,1,1,649,2800
97,285 000,"449, rue Pigeon",Beloeil,4,2,960,7489
98,79 000,"103, Chemin de Montreux",St-Sauveur,4,2,960,54000
99,215 000,"7, rue de la Sapinière",St-Ephrem-De-Beauce,4,1+1,1344,20776
100,359 900,"1652, rue des Renards",Longueuil (Vieux-Longueuil),3,2+1,1280,2461
101,399 900,"348, rue Roger-Lemelin",Terrebonne (Terrebonne),3,1+1,1871,3901
102,214 000,"1416, rue Buffon",Ste-Foy,3,1+1,1200,2025
103,467 000,"98, chemin du Campagnard",Ile d'Orléans (St-Francois),3,1+1,2300,43560
104,749 500,"32, rue Giguère",Ste-Rose,6,3+1,2690,7162
105,379 000,"915, rue Marie-Gérin-Lajoie",Terrebonne (Terrebonne),2,1+1,1532,2579
106,245 900,"4635, rue Louis-Fiset - Par Duo Immobilier",Contrecoeur,3,2,1050,4059
107,469 000,"308, rue des Bois-Francs",Mont-Carmel,3,1,1664,2740000
108,394 900,"73, rue de Clichy",Beauport,3,1+1,1775,6415
109,379 000,"235, rue Beethoven",Vaudreuil-Dorion,3,2+1,1469,5337
111,390 000,"12371, Jules Helbronner - Par les Habitations Parmofab inc",Rivière des Prairies,3,2+1,1450,2700
112,249 500,"505, chemin Duplessis",Sherbrooke (Fleurimont),3,2,1134,34351
113,289 500,"521, rue des Ancolies",Lavaltrie,3,2,1225,6781
114,445 000,"1052, rue Beauregard",Chicoutimi (Chicoutimi),5,2+1,1157,6900
115,940 000,"548, rue du Massif",Mont-St-Hilaire,4,3+1,3189,9840
116,52 000,"1243, route 321",Papineauville,4,3+1,3189,384634
117,275 000,"4, chemin du Domaine-Ayotte",St-Donat,2,1+1,1357,24972
118,229 500,"572, rue Soucy",Gatineau (Buckingham),3,2,1400,3000
119,284 900,"1368, rue du Colorado",Val-Bélair,3,2+1,1252,3553
120,420 000,"743, rue des Huards",Contrecoeur,3,2+1,1592,11300
121,239 000,"4925, avenue Carrel",Les Saules,4,1+1,821,5000
122,614 000,"590, chemin Saint-Louis",St-Basile-Le-Grand,5,3,3000,9750
123,207 500,"245, rue Saint-Pierre",St-Germain-De-Grantham,3,1+1,1264,8712
124,274 900,"663, rue du Milan",St-Amable,3,2,676,4000
125,340 000,"145, rue Saint-Isidore",Ste-Anne-Des-Plaines,7,5,1297,60110
127,325 000,"2-728, rue des Sureaux",Boucherville,2,1,1027,1000
129,249 000,"2394, rue Chevaudier",L'Assomption,3,2+1,1400,10000
130,"6,50","34, rue Déry",Cap-Santé,3,2+1,1400,11840
131,194 800,"516, rue des Vétérans",Rimouski (Pointe-Au-Père),4,2,952,4639
132,"6,50","32, rue Déry",Cap-Santé,4,2,952,11840
133,188 000,"302-10015, boulevard de l'Ormière",Neufchatel,2,1,1430,12298
134,269 000,"850, rue Voyer",Magog,5,2,1430,5295
135,345 000,"219, rue du Genévrier",Duvernay-Est,3,1+1,1318,3200
136,449 000,"835, rue de la Beaurivage",Drummondville (St-Charles-De-Drummond),3,2+1,2184,6610
137,289 000,"14320, rue Manseau",Mirabel (St-Augustin),4,1+1,2184,5250
138,200 000,"115, rue de l'Église",Durham-Sud,5,2,1957,210972
139,329 000,"96, rue Dupont Est",Chateauguay,3,2,1957,9050
140,112 500,"10, rue Boudreault",Port-Cartier,3,1,1957,4050
141,549 000,"5150, rue Duchesneau",Mercier / Hochelaga / Maisonneuve,4,1+2,1673,2943
142,289 900,"528 - 532, rue Casavant",Granby,3,1+1,1459,5500
143,205 000,"282, chemin de Chambly",Marieville,2,1+1,992,1751
144,199 900,"1351, rue Granier",Pointe-Lebel,4,2+1,1500,46778
